,tweets
46,My oneplus one cracked 2 times lol didn't take stress very well but still loved it
47,OnePlus 3 &amp 3T Android Pie Update on the way https://t.co/WiC92KccFF #OnePlus #oneplus3 #oneplus3t #androidpie #Android9
48,_Support You guys are asking to initiate a DM and giving me same damn answer that product will not be cover under warranty
49,_IN Yeah..true...I waited a d 7 months for them and then had to finally buy another brand's earphones
50,We have replied to your concern via message please check.
51,_Support _abraham If by any chance this gets through I'd like you guys to know that I'm a perfec https://t.co/Xo2nXNPRiR
52,We are sorry for the inconvenience caused Please send us a Direct Message for further assistance.
53,We value your appreciation We are constantly motivated by fans like you to develop better smartphones for all of us Thank you!
54,_USA i dont even own a oneplus w h a t
55,We understand your concern The OnePlus bullets wireless Red is out of stock on our website we are tryin https://t.co/AjDVlT626D
56,OnePlus 6T McLaren Edition Honor 8X Lenovo laptops and more Reviews round-up https://t.co/8zBZahiCvp
57,Rumour roundup Poco F2 Xiaomi Redmi OnePlus 7 Samsung Galaxy M30 Pixel 3 Lite Moto G7 and more Times Now https://t.co/hFQFsEOIjB
58,We are sorry for the inconvenience caused Please send us a direct message and we will look into this.
59,Rumour roundup Poco F2 Xiaomi Redmi OnePlus 7 Samsung Galaxy M30 Pixel 3 Lite Moto G7 and more Times Now https://t.co/myTOXy2Yrp
60,RT OnePlus 6T gaming review PUBG Fortnite or Asphalt 9 it runs them all and it runs them well writes h…
61,We're sorry to hear this Please let us know what went wrong via a Direct Message we'd like to get them sorted at the earliest.
62,_Support Please bring these features on OnePlus 6: 1 Digital Wellbeing 2 Always on display 3 Detecting https://t.co/uE72oWLbXq
63,I opened a online account as oneplus is providing me some benefits I wish this the time use account fo https://t.co/xjaYpw3uyu
64,_ntrash Ayyy oneplus
65,pie updates for OnePlus 3T?
66,Android Circuit Radical Galaxy S10 Leaks OnePlus Keeps Its Promise My Smartphone Of The Year https://t.co/59uwoOWkAD
67,We are sorry for the inconvenience caused Please send us a Direct Message for further assistance.
68,_Support My 6t finger print scanner is not working what is the solution
69,Thank you for reaching out to us We request you to send us a direct message and we'll help you out from there.
70,Is the Pie for 3/3T coming?
71,Thank you for reaching out to us We request you to send us a direct message and we'll help you out from there.
72,RT BEWARE! Oneplus is fraud company Inspite of sending so many reminders credit is not reflected in GSTR-2A Tax Invoice show…
73,Today's Deal OnePlus 6T McLaren Edition 📍 Check https://t.co/PzNEd5Iod8 #mclaren #oneplus #oneplus6t https://t.co/vdeXRyeY03
74,As of now we do not have any information on this Request you to stay tuned to our social media channe https://t.co/S28XLWIytM
75,We apologize for the inconvenience this has caused to you We request you to send us a direct mess https://t.co/3wAWxWfoad
76,We understand your concern We request you to initiate a DM so that we can assist you further.
77,Country walks are good for the soul #shotononeplus #oneplus Pyeongtaek https://t.co/GNHkbxV2ug
78,_IN pls note
79,_mba We understand your concern Our team is working on this and will roll out a global update at the earli https://t.co/0waGhtq2SL
80,OnePlus 6T phone app crashing Here’s a temporary fix you may want to try #OnePlus6T #oneplus #phone #app #crash https://t.co/iVkWdLmY6d
81,Jarahe ho wahan holidays me?
82,RT __vaja …
83,RT My new part playlist *Ultimate Party-Hindi* Let's #PartyTogetherOnGaana #GaanaPartyHub #GaanaPartyHubContest…
84,_AmirSheikh We'll be glad to assist you Send us a direct message and we'll help you out from there.
85,We have replied to you via DM please check.
86,_cook needs to realise that just brand can not boost sales Earlier they had monopoly to https://t.co/X1XVozGZaE
87,_Support You already have my details as what problem I'm facing. Its up to whether you change my display o https://t.co/V8ZyJVeOzC
88,I want to win a OnePlus 6T from XDA and You can also enter here and it's open to all countries https://t.co/pL3cWzcfIo
89,oneplus 6t?
90,We are glad to know this Hope you enjoy our device to the fullest.
91,_1120 We understand your concern At present we do not have stock of red wireless bullets We are worki https://t.co/iSkY79udhc
92,hAn yar it's reality
93,_IN OnePlus 5T https://t.co/NhYFKYHZfi
94,_batra We understand your concern Our team is working on this and will roll out a global update at the earl https://t.co/1W3uc6lDZu
95,Android Circuit Radical Galaxy S10 Leaks OnePlus Keeps Its Promise My Smartphone Of The Year https://t.co/tRsdMNRQ6K
96,Started the new year with a bang!! Thrilled to finally #NeverSettle My first ever #OnePlus device. #OnePlus6T https://t.co/JE8aPklg5L
97,_mahesh We are sorry to hear this request you to DM us so that we can help you in the best way.
98,We apologize for the unpleasant experience and will ensure that the same is not repeated in future Howev https://t.co/CfiHmpa81e
99,Oneplus 7 first look and features check out this link 👇👇👇👇👇👇👇👇 https://t.co/BNyQBDIDYj
